"","Y7PROXST","Y7PL5ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","L’appel au Front Républicain exprime l’inquiétude de ceux qui pensent que le Rassemblement National est une menace pour la démocratie",71.5258851033765,1244.62739021461,1010,"2024-07-26",11204
"2","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Le Front Républicain est une tactique permettant aux partis traditionnels de conserver le pouvoir",28.4741148966235,1244.62739021461,1010,"2024-07-26",11204
"3","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","L’appel au Front Républicain exprime l’inquiétude de ceux qui pensent que le Rassemblement National est une menace pour la démocratie",79.149059884228,1694.11332416987,1880,"2024-07-26",11204
"4","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Le Front Républicain est une tactique permettant aux partis traditionnels de conserver le pouvoir",20.850940115772,1694.11332416987,1880,"2024-07-26",11204
"5","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, L’UDI (Union des Démocrates et Indépendants))","L’appel au Front Républicain exprime l’inquiétude de ceux qui pensent que le Rassemblement National est une menace pour la démocratie",68.0016189424916,1528.99545678068,1666,"2024-07-26",11204
"6","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, L’UDI (Union des Démocrates et Indépendants))","Le Front Républicain est une tactique permettant aux partis traditionnels de conserver le pouvoir",31.9983810575084,1528.99545678068,1666,"2024-07-26",11204
"7","Droite (Les Républicains)","L’appel au Front Républicain exprime l’inquiétude de ceux qui pensent que le Rassemblement National est une menace pour la démocratie",44.0452516678189,769.550724279786,904,"2024-07-26",11204
"8","Droite (Les Républicains)","Le Front Républicain est une tactique permettant aux partis traditionnels de conserver le pouvoir",55.9547483321811,769.550724279786,904,"2024-07-26",11204
"9","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","L’appel au Front Républicain exprime l’inquiétude de ceux qui pensent que le Rassemblement National est une menace pour la démocratie",32.4528029137159,2784.89344256876,2662,"2024-07-26",11204
"10","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Le Front Républicain est une tactique permettant aux partis traditionnels de conserver le pouvoir",67.5471970862841,2784.89344256876,2662,"2024-07-26",11204
"11","Autre parti ou aucun parti","L’appel au Front Républicain exprime l’inquiétude de ceux qui pensent que le Rassemblement National est une menace pour la démocratie",50.5397730092232,3171.4438996654,3072,"2024-07-26",11204
"12","Autre parti ou aucun parti","Le Front Républicain est une tactique permettant aux partis traditionnels de conserver le pouvoir",49.4602269907768,3171.4438996654,3072,"2024-07-26",11204
